id,production_company
135397,Legendary Pictures
135397,Fuji Television Network
135397,Dentsu
37724,Columbia Pictures
558,Columbia Pictures
558,Laura Ziskin Productions
558,Marvel Enterprises
68721,Marvel Studios
12155,Walt Disney Pictures
12155,Team Todd
12155,Tim Burton Productions
12155,Roth Films
12155,"Zanuck Company, The"
36668,Ingenious Film Partners
36668,Twentieth Century Fox Film Corporation
36668,Donners' Company
36668,Dune Entertainment
36668,Major Studio Partners
36668,Bad Hat Harry Productions
36668,thinkfilm
36668,Marvel Enterprises
36668,X3 Canada Productions
36668,X3US Productions
36668,XM3 Service
62211,Walt Disney Pictures
62211,Pixar Animation Studios
8373,Paramount Pictures
8373,DreamWorks SKG
8373,Amblin Entertainment
8373,Di Bonaventura Pictures
8373,Platinum Dunes
8373,Hasbro Studios
8373,Revolution Sun Studios
91314,Paramount Pictures
91314,Amblin Entertainment
91314,Di Bonaventura Pictures
91314,Platinum Dunes
91314,China Movie Channel
91314,Hasbro Studios
91314,Ian Bryce Productions
91314,Revolution Sun Studios
68728,Walt Disney Pictures
68728,Roth Films
102382,Columbia Pictures
102382,Marvel Enterprises
102382,Avi Arad Productions
102382,Matt Tolmach Productions
20526,Walt Disney Pictures
20526,LivePlanet
20526,Prana Studios
20526,Sean Bailey Productions
20526,Revolution Sun Studios
20526,Kontsept Film Company
49013,Walt Disney Pictures
49013,Pixar Animation Studios
44912,De Line Pictures
44912,Warner Bros.
44912,DC Entertainment
10193,Walt Disney Pictures
10193,Pixar Animation Studios
534,Columbia Pictures
534,The Halcyon Company
534,Wonderland Sound and Vision
534,Warner Bros.
168259,Universal Pictures
168259,Original Film
168259,Fuji Television Network
168259,Dentsu
168259,One Race Films
168259,China Film Co.
168259,Québec Production Services Tax Credit
168259,Media Rights Capital (MRC)
168259,Abu Dhabi Film Commission
168259,"Colorado Office of Film, Television & Media"
72190,Paramount Pictures
72190,GK Films
72190,Skydance Productions
72190,Hemisphere Media Capital
72190,Apparatus Productions
72190,Latina Pictures
72190,2DUX²
127585,Twentieth Century Fox Film Corporation
127585,Donners' Company
127585,Marvel Entertainment
127585,Bad Hat Harry Productions
127585,TSG Entertainment
127585,Down Productions
127585,Revolution Sun Studios
54138,Paramount Pictures
54138,Skydance Productions
54138,Bad Robot
54138,Kurtzman/Orci
81005,New Line Cinema
81005,Original Film
81005,Legendary Pictures
81005,Warner Bros.
81005,Big Kid Pictures
81005,Bad Hat Harry Productions
64682,Village Roadshow Pictures
64682,Bazmark Films
64682,Warner Bros.
64682,A&E Television Networks
64682,Red Wagon Entertainment
64682,Spectrum Films
9543,Walt Disney Pictures
9543,Jerry Bruckheimer Films
68726,Legendary Pictures
68726,Warner Bros.
68726,Disney Double Dare You (DDY)
68726,Indochina Productions
38356,Paramount Pictures
38356,Di Bonaventura Pictures
38356,Indochina Productions
38356,Hasbro Studios
217,Lucasfilm
217,Paramount Pictures
105864,Walt Disney Pictures
105864,Pixar Animation Studios
62177,Walt Disney Pictures
62177,Pixar Animation Studios
188927,Paramount Pictures
188927,Bad Robot
188927,Perfect Storm Entertainment
188927,Alibaba Pictures Group
188927,Skydance Media
188927,Sneaky Shark
188927,Huahua Media
10681,Walt Disney Pictures
10681,Pixar Animation Studios
10681,FortyFour Studios
5174,New Line Cinema
14161,Columbia Pictures
14161,Centropolis Entertainment
14161,The Mark Gordon Company
14161,Farewell Productions
17979,Walt Disney
17979,ImageMovers
76757,Village Roadshow Pictures
76757,Dune Entertainment
76757,Anarchos Productions
76757,Warner Bros.
258489,Village Roadshow Pictures
258489,Dark Horse Entertainment
258489,Jerry Weintraub Productions
258489,RatPac-Dune Entertainment
258489,Beagle Pug Films
258489,Riche Productions
258489,Village Roadshow Films North America
411,Walt Disney
411,Walden Media
246655,Twentieth Century Fox Film Corporation
246655,Donners' Company
246655,Marvel Entertainment
246655,Bad Hat Harry Productions
246655,TSG Entertainment
246655,Kinberg Genre
155,DC Comics
155,Legendary Pictures
155,Warner Bros.
155,DC Entertainment
155,Syncopy
14160,Pixar Animation Studios
15512,DreamWorks Animation
1726,Marvel Studios
44826,Paramount Pictures
44826,Infinitum Nihil
44826,GK Films
8487,"Todman, Simon, LeMasters Productions"
8487,Warner Bros.
8487,Peters Entertainment
8487,Sonnenfeld Josephson Worldwide Entertainment
1735,Universal Pictures
1735,China Film Co-Production Corporation
1735,Relativity Media
1735,Alphaville Films
1735,"Sommers Company, The"
297761,DC Comics
297761,Dune Entertainment
297761,Atlas Entertainment
297761,Warner Bros.
297761,DC Entertainment
2698,Columbia Pictures
2698,Universal Pictures
2698,Spyglass Entertainment
2698,Shady Acres Entertainment
2698,Original Film
2698,Playtone
2698,Relativity Media
137113,Village Roadshow Pictures
137113,Warner Bros.
137113,Viz Media
137113,Province of British Columbia Production Services Tax Credit
137113,3 Arts Entertainment
137113,RatPac-Dune Entertainment
9804,Universal Pictures
9804,Gordon Company
9804,Davis Entertainment
9804,Licht/Mueller Film Corporation
14869,Paramount Pictures
14869,Spyglass Entertainment
14869,Di Bonaventura Pictures
14869,Hasbro
14869,Kontsept Film Company
150540,Walt Disney Pictures
150540,Pixar Animation Studios
278927,Walt Disney Pictures
278927,Walt Disney Studios Motion Pictures
278927,Fairview Entertainment
278927,Moving Picture Company (MPC)
10138,Marvel Studios
58595,Universal Pictures
58595,Roth Films
102651,Walt Disney Pictures
102651,Walt Disney Studios Motion Pictures
102651,Roth Films
119450,Ingenious Media
119450,Chernin Entertainment
119450,TSG Entertainment
79698,Corsan
79698,Bliss Media
79698,Limelight International Media Entertainment
79698,Neelmudra Entertainment
79698,Aristos Films
79698,Singularity Productions
79698,Wildkite
64686,Mid Atlantic Films
64686,Stuber Productions
64686,Universal
64686,Moving Picture Company (MPC)
64686,H2F Entertainment
100402,Marvel Studios
10192,DreamWorks Animation
158852,Walt Disney Pictures
158852,Babieka
158852,A113
177572,Walt Disney Pictures
177572,Walt Disney Animation Studios
82690,Walt Disney Animation Studios
5255,Golden Mean
5255,Playtone
5255,ImageMovers
47933,Twentieth Century Fox Film Corporation
47933,Centropolis Entertainment
47933,TSG Entertainment
47933,Stereo D
10191,DreamWorks Animation
10191,Vertigo Entertainment
10191,Mad Hatter Entertainment
296,Columbia Pictures
296,Intermedia Films
296,Warner Bros.
296,C-2 Pictures
296,IMF Internationale Medien und Film GmbH & Co. 3. Produktions KG
296,Mostow/Lieberman Productions
118340,Marvel Studios
118340,Moving Picture Company (MPC)
118340,Bulletproof Cupid
118340,Revolution Sun Studios
157336,Paramount Pictures
157336,Legendary Pictures
157336,Warner Bros.
157336,Syncopy
157336,Lynda Obst Productions
27205,Legendary Pictures
27205,Warner Bros.
27205,Syncopy
315011,Cine Bazar
315011,Toho Pictures
49051,WingNut Films
49051,New Line Cinema
49051,Warner Bros. Pictures
49051,Metro-Goldwyn-Mayer (MGM)
9799,Universal Pictures
9799,Original Film
9799,Ardustry Entertainment
9799,Mediastream Film GmbH & Co. Productions KG
4922,Paramount Pictures
4922,Warner Bros.
4922,"Kennedy/Marshall Company, The"
49538,Ingenious Film Partners
49538,Ingenious Media
49538,Twentieth Century Fox Film Corporation
49538,Donners' Company
49538,Dune Entertainment
49538,Dune Entertainment III
49538,Marvel Entertainment
49538,Bad Hat Harry Productions
49538,Big Screen Productions
131634,Studio Babelsberg
131634,Lionsgate
131634,Color Force
27022,Walt Disney Pictures
27022,Jerry Bruckheimer Films
27022,Saturn Films
27022,Broken Road Productions
27022,Junction Entertainment
503,Virtual Studios
503,Next Entertainment
503,Warner Bros.
503,Irwin Allen Productions
503,Radiant Productions
503,Synthesis Entertainment
241259,Walt Disney Pictures
241259,Team Todd
241259,Tim Burton Productions
241259,Roth Films
241259,Legend3D
810,DreamWorks SKG
810,DreamWorks Animation
68735,Universal Pictures
68735,Atlas Entertainment
68735,Legendary Pictures
68735,Blizzard Entertainment
87101,Paramount Pictures
87101,Annapurna Pictures
87101,Skydance Media
10140,Dune Entertainment
10140,Fox 2000 Pictures
10140,Walden Media
676,Jerry Bruckheimer Films
676,Touchstone Pictures
1858,Paramount Pictures
1858,DreamWorks SKG
1858,Amblin Entertainment
1858,Di Bonaventura Pictures
1858,Platinum Dunes
1858,thinkfilm
1858,SprocketHeads
1858,Hasbro Studios
1858,Revolution Sun Studios
1966,France 3 Cinéma
1966,Intermedia Films
1966,Pathé Renn Productions
1966,Egmond Film & Television
1966,Warner Bros.
1966,Pacifica Film
1966,IMF Internationale Medien und Film GmbH & Co. 3. Produktions KG
1966,WR Universal Group
675,Warner Bros.
675,Heyday Films
674,Patalex IV Productions Limited
674,Warner Bros.
674,Heyday Films
8960,Columbia Pictures
8960,Weed Road Pictures
8960,Forward Pass
8960,Relativity Media
8960,Overbrook Entertainment
8960,Blue Light
8960,GH Three
6479,Village Roadshow Pictures
6479,Original Film
6479,Weed Road Pictures
6479,Warner Bros.
6479,Heyday Films
6479,Overbrook Entertainment
118,Village Roadshow Pictures
118,The Zanuck Company
118,Warner Bros.
118,Tim Burton Productions
118,Plan B Entertainment
118,Theobald Film Productions
2062,Walt Disney Pictures
2062,Pixar Animation Studios
272,DC Comics
272,Legendary Pictures
272,Warner Bros.
272,DC Entertainment
272,Syncopy
272,Patalex III Productions Limited
10527,DreamWorks Animation
18360,Twentieth Century Fox Film Corporation
18360,1492 Pictures
18360,Dune Entertainment
18360,21 Laps Entertainment
18360,Museum Canada Productions
18360,Moving Picture Company (MPC)
2080,Ingenious Film Partners
2080,Twentieth Century Fox Film Corporation
2080,Donners' Company
2080,Dune Entertainment
2080,Seed Productions
2080,Bad Hat Harry Productions
2080,Big Screen Productions
2080,Marvel Enterprises
605,Village Roadshow Pictures
605,NPV Entertainment
605,Silver Pictures
605,Warner Bros.
109445,Walt Disney Pictures
109445,Walt Disney Animation Studios
604,Village Roadshow Pictures
604,NPV Entertainment
604,Heineken Branded Entertainment
604,Silver Pictures
604,Warner Bros.
76338,Marvel Studios
76341,Village Roadshow Pictures
76341,Kennedy Miller Productions
76341,Warner Bros.
13448,Columbia Pictures
13448,Imagine Entertainment
13448,Panorama Films
13448,Skylark Productions
10195,Marvel Studios
13053,Walt Disney Animation Studios
19585,Walt Disney Pictures
19585,Jerry Bruckheimer Films
19585,Whamaphram Productions
57165,Legendary Pictures
57165,Thunder Road Pictures
57165,Warner Bros.
57165,Cott Productions
57165,"Furia de Titanes II, A.I.E."
62213,Village Roadshow Pictures
62213,Infinitum Nihil
62213,GK Films
62213,Warner Bros.
62213,Tim Burton Productions
62213,Dan Curtis Productions
62213,"Zanuck Company, The"
177677,Paramount Pictures
177677,Skydance Productions
177677,China Movie Channel
177677,Bad Robot
177677,TC Productions
177677,Alibaba Pictures Group
177677,Odin
7978,Universal Pictures
7978,Stuber Productions
7978,Relativity Media
5559,Pacific Data Images (PDI)
5559,DreamWorks Animation
5559,Columbus 81 Productions
49444,DreamWorks Animation
10196,Paramount Pictures
10196,Nickelodeon Movies
10196,"Kennedy/Marshall Company, The"
10196,Industrial Light & Magic (ILM)
10196,Blinding Edge Pictures
956,Paramount Pictures
956,Cruise/Wagner Productions
956,Studio Babelsberg
956,MI 3 Film
956,China Film Co-Production Corporation
956,China Film Group Corporation (CFGC)
956,The Fourth Production Company Film Group
117251,Columbia Pictures
117251,Centropolis Entertainment
117251,Iron Horse Entertainment (II)
117251,Mythology Entertainment (II)
50321,Walt Disney Animation Studios
11619,Aardman Animations
11619,DreamWorks Animation
266647,Warner Bros.
266647,Moving Picture Company (MPC)
266647,Berlanti Productions
266647,RatPac-Dune Entertainment
82703,Pacific Data Images (PDI)
82703,DreamWorks Animation
82703,Classic Media Productions
82703,Bullwinkle Studios
652,Plan B Entertainment
652,Warner Bros.
652,Nimar Studios
652,Radiant Productions
652,Helena Productions
652,Latina Pictures
80321,DreamWorks Animation
36669,Eon Productions
43074,Columbia Pictures
43074,Village Roadshow Pictures
43074,"Montecito Picture Company, The"
43074,LStar Capital
43074,Feigco Entertainment
43074,Pascal Pictures
43074,Ghostcorps
95,Jerry Bruckheimer Films
95,Touchstone Pictures
95,Valhalla Motion Pictures
608,Columbia Pictures
608,Amblin Entertainment
608,Columbia Pictures Corporation
608,Parkes+MacDonald Image Nation
2310,Paramount Pictures
2310,Shangri-La Entertainment
2310,ImageMovers
2310,Paramount Animation
140300,Twentieth Century Fox Film Corporation
140300,DreamWorks Animation
140300,China Film Co.
140300,Oriental DreamWorks
56292,Paramount Pictures
56292,Skydance Productions
56292,Bad Robot
56292,TC Productions
56292,Revolution Sun Studios
56292,Kontsept Film Company
81188,DreamWorks Animation
7552,Imagine Entertainment
7552,Columbia Pictures Corporation
7552,JC 23 Entertainment
616,Cruise/Wagner Productions
616,Warner Bros.
616,Radar Pictures
616,"Bedford Falls Company, The"
147441,Scott Free Productions
147441,Chernin Entertainment
147441,Babieka
147441,Volcano Films
13475,Paramount Pictures
13475,Spyglass Entertainment
13475,Bad Robot
13475,MavroCine Pictures GmbH & Co. KG
557,Columbia Pictures
557,Marvel Enterprises
82702,DreamWorks Animation
82702,Mad Hatter Entertainment
205584,Summit Entertainment
205584,Mystery Clock Cinema
205584,Thunder Road Pictures
205584,TIK Films
205584,Pyramania
10048,Laura Ziskin Productions
10048,Original Film
10048,Columbia Pictures Corporation
10048,Phoenix Pictures
10048,AFG Talons Productions
13183,Paramount Pictures
13183,DC Comics
13183,Lawrence Gordon Productions
13183,Legendary Pictures
13183,Warner Bros.
13183,Cruel and Unusual Films
944,Silver Pictures
944,Donner/Shuler-Donner Productions
944,Warner Bros.
1927,Universal Pictures
1927,Good Machine
1927,Valhalla Motion Pictures
1927,Marvel Enterprises
72559,Paramount Pictures
72559,Di Bonaventura Pictures
72559,Hasbro
72559,Skydance Productions
72559,Metro-Goldwyn-Mayer (MGM)
72559,Saints LA
7364,Paramount Pictures
7364,Bristol Bay Productions
7364,Baldwin Entertainment Group
7364,Desertlands Entertainment
7364,Mace Neufeld Productions
7364,Kanzaman
7364,J.K. Livin Productions
7364,Moguletta
7364,Sahara Productions
7364,Babelsberg Film
2114,Columbia Pictures
2114,Square USA
2114,Chris Lee Productions
1771,Marvel Studios
36643,Eon Productions
36643,Metro-Goldwyn-Mayer (MGM)
8619,Universal Pictures
8619,Twentieth Century Fox Film Corporation
8619,Samuel Goldwyn Films
8619,Miramax
50620,Summit Entertainment
50620,Sunswept Entertainment
50620,Temple Hill Entertainment
65759,Village Roadshow Pictures
65759,Warner Bros.
65759,Dr D Studios
65759,Kennedy Miller Mitchell
1724,Universal Pictures
1724,Marvel Studios
1724,Valhalla Motion Pictures
1724,MVL Incredible Productions
267935,Walt Disney Pictures
267935,Amblin Entertainment
267935,Reliance Entertainment
267935,"Kennedy/Marshall Company, The"
267935,Walden Media
281957,Regency Enterprises
281957,Appian Way
281957,CatchPlay
281957,Anonymous Content
281957,New Regency Pictures
281957,Hong Kong Alpha Motion Pictures Co.
281957,RatPac Entertainment
281957,M Productions
281957,Monarchy Enterprises S.a.r.l.
77950,DreamWorks Animation
44896,Paramount Pictures
44896,Nickelodeon Movies
44896,GK Films
44896,Blind Wink
44896,Paramount Animation
270946,DreamWorks Animation
2503,Universal Pictures
2503,The Kennedy/Marshall Company
2503,Ludlum Entertainment
2503,Motion Picture BETA Produktionsgesellschaft
2503,Bourne Again
9502,DreamWorks Animation
102899,Marvel Studios
101299,Lionsgate
101299,Color Force
228161,Twentieth Century Fox Film Corporation
228161,DreamWorks Animation
74,Paramount Pictures
74,DreamWorks SKG
74,Cruise/Wagner Productions
74,Amblin Entertainment
8961,Columbia Pictures Corporation
8961,Don Simpson/Jerry Bruckheimer Films
417859,DreamWorks
27576,Columbia Pictures
27576,Di Bonaventura Pictures
27576,Relativity Media
27576,Wintergreen Productions
86834,Paramount Pictures
86834,Regency Enterprises
86834,Protozoa Pictures
86834,Disruption Entertainment
17578,Paramount Pictures
17578,Columbia Pictures
17578,WingNut Films
17578,Amblin Entertainment
17578,Nickelodeon Movies
17578,"Kennedy/Marshall Company, The"
17578,Hemisphere Media Capital
673,1492 Pictures
673,Heyday films
673,Warner Bros.
6972,Bazmark Films
6972,Ingenious Film Partners
6972,Twentieth Century Fox Film Corporation
6972,Dune Entertainment III
6972,ScreenWest
82700,Columbia Pictures
82700,Blinding Edge Pictures
82700,Overbrook Entertainment
10567,Walt Disney Pictures
10567,Walt Disney Feature Animation
181533,Twentieth Century Fox Film Corporation
181533,1492 Pictures
181533,21 Laps Entertainment
181533,Moving Picture Company (MPC)
181533,TSG Entertainment
38055,DreamWorks Animation
671,1492 Pictures
671,Warner Bros.
671,Heyday Films
49524,Universal Pictures
49524,Original Film
49524,Dark Horse Entertainment
22,Walt Disney Pictures
22,Jerry Bruckheimer Films
131631,Lionsgate
131631,Color Force
591,Columbia Pictures
591,Imagine Entertainment
591,Skylark Productions
591,Government of Malta
172385,Blue Sky Studios
172385,Twentieth Century Fox Animation
36658,Twentieth Century Fox Film Corporation
36658,Donners' Company
36658,Bad Hat Harry Productions
36658,Marvel Enterprises
36658,XM2 Productions
36658,XF2 Canada Productions
51497,Universal Pictures
51497,Original Film
51497,One Race Productions
58574,Village Roadshow Pictures
58574,Silver Pictures
58574,Lin Pictures
58574,Warner Bros.
58574,Wigram Productions
18823,The Zanuck Company
18823,Legendary Pictures
18823,Thunder Road Pictures
18823,Warner Bros.
18823,Moving Picture Company (MPC)
861,TriStar Pictures
861,Carolco Pictures
861,Carolco International N.V.
1911,Touchstone Pictures
49040,Universal Pictures
49040,Dentsu
49040,Relativity Media
49040,"Kennedy/Marshall Company, The"
49040,Captivate Entertainment
415,PolyGram Filmed Entertainment
415,Warner Bros.
8871,Imagine Entertainment
8871,Universal Pictures
435,Lions Gate Films
435,Twentieth Century Fox Film Corporation
435,Centropolis Entertainment
435,Mark Gordon Productions
435,Mel's Cite du Cinema
955,Paramount Pictures
955,Cruise/Wagner Productions
955,Munich Film Partners & Company (MFP) MI2 Productions
2133,Warner Bros.
2133,Baltimore Spring Creek Productions
2133,Radiant Productions
1979,Ingenious Film Partners
1979,Twentieth Century Fox Film Corporation
1979,1492 Pictures
1979,Dune Entertainment
1979,Constantin Film Produktion
1979,Bernd Eichinger Productions
1979,Marvel Enterprises
87827,Ingenious Film Partners
87827,Ingenious Media
87827,Dune Entertainment
87827,Fox 2000 Pictures
87827,Big Screen Productions
87827,Haishang Films
1250,Columbia Pictures Corporation
1250,Relativity Media
1250,Michael De Luca Productions
1250,Marvel Enterprises
1250,Crystal Sky Pictures
1250,GH One
1250,Vengeance Productions Pty. Ltd.
324668,The Kennedy/Marshall Company
324668,Captivate Entertainment
324668,Pearl Street Films
324668,Double Negative
324668,Perfect World (Beijing) Pictures Co.
9471,Columbia Pictures
9471,Wonderland Sound and Vision
9471,Tall Trees Productions
9471,Flower Films (II)
70981,Twentieth Century Fox Film Corporation
70981,Dune Entertainment
70981,Scott Free Productions
70981,Brandywine Productions
10996,Columbia Pictures
10996,Sony Pictures Entertainment
68724,TriStar Pictures
68724,Media Rights Capital
68724,Sony Pictures Entertainment (SPE)
68724,QED International
68724,Alpha Core
68724,Genre Films
68724,Simon Kinberg Productions
2789,One Race Films
2789,Radar Pictures
97020,Columbia Pictures
97020,Strike Entertainment
97020,Metro-Goldwyn-Mayer (MGM)
7459,Village Roadshow Pictures
7459,Studio Babelsberg
7459,Anarchos Productions
7459,Silver Pictures
7459,Warner Bros.
7459,Velocity Productions
42888,Columbia Pictures
42888,Gracie Films
42888,Road Rebel
37834,Tree Line Films
37834,Twentieth Century Fox Film Corporation
37834,Dune Entertainment
37834,Regency Enterprises
37834,Pink Machine
75612,Universal Pictures
75612,Chernin Entertainment
75612,Relativity Media
75612,Monolith Pictures (III)
75612,Radical Studios
1895,Lucasfilm
1894,Lucasfilm
585,Walt Disney Pictures
585,Pixar Animation Studios
76170,Twentieth Century Fox Film Corporation
76170,Donners' Company
76170,Marvel Entertainment
76170,Bad Hat Harry Productions
76170,Big Screen Productions
76170,TSG Entertainment
1893,Lucasfilm
49519,DreamWorks Animation
2395,Constantin Film
2395,TF1 Films Productions
2395,Pathé Renn Productions
2395,La Petite Reine
2395,Tri Pictures
2395,Sorolla Films
2395,Novo RPI
2395,Canal+
2395,uFilm
2395,Canal+ España
2395,Le Tax Shelter du Gouvernement Fédéral de Belgique
2395,Les Editions Albert René
12100,Lion Rock Productions
12100,Metro-Goldwyn-Mayer (MGM)
290595,Universal Pictures
290595,Perfect World Pictures
290595,Roth Films
98566,Paramount Pictures
98566,Nickelodeon Movies
98566,Platinum Dunes
49047,Warner Bros.
49047,Heyday Films
49047,Esperanto Filmoj
9619,Universal Pictures
9619,Pacific Western
308531,Paramount Pictures
308531,Nickelodeon Movies
308531,Platinum Dunes
308531,5150 Action
308531,Gama Entertainment Partners
166424,Twentieth Century Fox Film Corporation
166424,Marv Films
166424,Marvel Entertainment
166424,Constantin Film.
166424,Moving Picture Company (MPC)
166424,TSG Entertainment
166424,Genre Films
1593,Ingenious Film Partners
1593,Twentieth Century Fox Film Corporation
1593,1492 Pictures
1593,21 Laps Entertainment
254128,New Line Cinema
254128,Village Roadshow Pictures
254128,Warner Bros.
254128,Flynn Picture Company
714,Eon Productions
2024,Centropolis Entertainment
2024,Columbia Pictures Corporation
2024,Mutual Film Company
2024,Global Entertainment Productions GmbH & Company Medien KG
163,Village Roadshow Pictures
163,Section Eight
163,Jerry Weintraub Productions
163,Warner Bros.
163,WV Films III
787,Weed Road Pictures
787,Summit Entertainment
787,Regency Enterprises
787,Epsilon Motion Pictures
787,New Regency Pictures
262500,Summit Entertainment
262500,Mandeville Films
262500,Red Wagon Entertainment
262500,NeoReel
2567,Miramax Films
2567,Appian Way
2567,Forward Pass
2567,Cappa Productions
2567,Warner Bros.
2567,Initial Entertainment Group (IEG)
2567,IMF Internationale Medien und Film GmbH & Co. 3. Produktions KG
2567,Mel's Cite du Cinema
38745,Twentieth Century Fox Film Corporation
38745,Dune Entertainment
38745,Davis Entertainment
38745,Dune Entertainment III
40805,Original Film
40805,Sony Pictures Entertainment
40805,Reliance BIG Entertainment
53182,Legendary Pictures
53182,Hollywood Gang Productions
53182,Atmosphere Entertainment MM
53182,Warner Bros.
53182,Nimar Studios
53182,Cruel and Unusual Films
41513,Columbia Pictures
41513,Sony Pictures Animation
41513,Kerner Entertainment Company
13700,Walt Disney Pictures
262504,Summit Entertainment
262504,Lionsgate
262504,Mandeville Films
262504,Red Wagon Entertainment
39254,DreamWorks SKG
39254,21 Laps Entertainment
39254,Reliance Entertainment
39254,Touchstone Pictures
39254,ImageMovers
39254,Angry Films
39254,Revolution Sun Studios
39254,Kontsept Film Company
39254,Wardour Street Pictures
77931,Columbia Pictures
77931,Sony Pictures Animation
77931,Kerner Entertainment Company
77931,Hemisphere Media Capital
77931,NeoReel
1639,Twentieth Century Fox Film Corporation
1639,Blue Tulip Productions
80274,Summit Entertainment
80274,Chartoff Productions
80274,Odd Lot Entertainment
80274,K/O Paper Products
80274,Digital Domain
80274,Taleswapper
1571,Ingenious Film Partners
1571,Twentieth Century Fox Film Corporation
1571,Dune Entertainment
1571,Cheyenne Enterprises
1571,Wintergreen Productions
120,WingNut Films
120,New Line Cinema
120,The Saul Zaentz Company
10204,Studio Babelsberg
10204,Walden Media
10204,Babelsberg Film
10204,Mostow/Lieberman Productions
10204,80 Days Productions
10204,Spanknyce Films
10204,Fitzwilliam Productions
8489,Columbia Pictures Corporation
10588,Imagine Entertainment
10588,DreamWorks SKG
10588,Universal Pictures
2048,Twentieth Century Fox Film Corporation
2048,Laurence Mark Productions
2048,Davis Entertainment
2048,Overbrook Entertainment
2048,Mediastream Vierte Film GmbH & Co. Vermarktungs KG
2048,Canlaws Productions
1495,Studio Babelsberg
1495,Twentieth Century Fox Film Corporation
1495,Scott Free Productions
1495,Kanzaman
1495,Dune Films
1495,BK
1495,KOH
1495,Reino del Cielo
1495,Inside Track 3
1495,Calle Cruzada
10137,Columbia Pictures Corporation
10137,Global Medien KG
10137,Franklin/Waterman Productions
10198,Walt Disney Pictures
10198,Walt Disney Animation Studios
286217,Twentieth Century Fox Film Corporation
286217,Scott Free Productions
286217,Mid Atlantic Films
286217,International Traders
286217,TSG Entertainment
286217,Genre Films
1635,DreamWorks SKG
1635,Warner Bros.
1635,Parkes/MacDonald Productions
24113,New Line Cinema
9679,Jerry Bruckheimer Films
9679,Touchstone Pictures
98,DreamWorks SKG
98,Universal Pictures
98,Scott Free Productions
98,Red Wagon Entertainment
98,Mill Film
98,C & L
98,Dawliz
180,DreamWorks SKG
180,Cruise/Wagner Productions
180,Amblin Entertainment
180,Twentieth Century Fox Film Corporation
180,Blue Tulip Productions
180,Ronald Shusett/Gary Goldman
180,Digital Image Associates
672,1492 Pictures
672,Heyday films
672,Warner Bros.
36557,Eon Productions
36557,Stillking Films
36557,Babelsberg Film
869,Twentieth Century Fox Film Corporation
869,Tim Burton Productions
869,"Zanuck Company, The"
280,Lightstorm Entertainment
280,Pacific Western
280,Canal+
280,Carolco Pictures
280,T2 Productions
11322,Universal Pictures
11322,Appian Way
11322,Forward Pass
11322,Dentsu
11322,Relativity Media
