id,imdb_id,tmdbId,title,release_date,revenue,budget,runtime,original_language,vote_average,vote_count,homepage,tagline
8391,tt0114916,18387,When Night Is Falling,1995-05-05,0.0,0,96.0,en,5.9,10.0,,
629,tt0114814,166901,The Usual Suspects,1995-07-19,23341568.0,6000000,106.0,en,8.1,3334.0,http://www.mgm.com/#/our-titles/2083/The-Usual-Suspects,Five Criminals. One Line Up. No Coincidence.
117164,tt0109950,211411,Guardian Angel,1994-11-22,0.0,0,93.0,en,6.3,3.0,,She's no angel of mercy.
2054,tt0113862,9354,Mr. Holland's Opus,1995-12-29,106269971.0,0,137.0,en,6.9,115.0,,"Of All the Lives He Changed, the One That Changed the Most Was His Own."
4482,tt0113149,17170,French Twist,1995-02-08,0.0,0,95.0,fr,6.0,43.0,,
755,tt0116367,110465,From Dusk Till Dawn,1996-01-19,25836616.0,19000000,108.0,en,6.9,1644.0,http://www.miramax.com/movie/from-dusk-till-dawn/,One night is all that stands between them and freedom. But it's going to be a hell of a night.
27526,tt0112744,100973,The Crossing Guard,1995-11-15,0.0,0,111.0,en,6.1,74.0,,"...some lives cross, others collide."
400,tt0114660,291731,Things to Do in Denver When You're Dead,1995-12-01,529766.0,8000000,116.0,en,6.7,87.0,,Protect. Love. Honor. Avenge.
880,tt0112379,9306,Antonia's Line,1995-09-12,0.0,900000,102.0,nl,7.2,26.0,,A motion picture that celebrates everything you love about life.
8447,tt0112365,831,Angels and Insects,1995-09-10,0.0,0,118.0,en,6.3,17.0,,An elegant seduction. An erotic deception. A stunning revelation.
2086,tt0113972,13380,Nick of Time,1995-11-22,8175346.0,8169363,90.0,en,6.1,190.0,,
406,tt0113247,171857,La Haine,1995-05-31,0.0,3000000,98.0,fr,7.9,695.0,,Three Young Friends... One Last Chance.
2045,tt0118040,24736,Unforgettable,1996-02-23,0.0,18000000,106.0,en,5.3,22.0,,He loved her. He lost her. He won't let her memory die... until it tells him who killed her.
688,tt0112579,27281,The Bridges of Madison County,1995-05-28,182016617.0,24000000,135.0,en,7.3,397.0,,The path of Francesca Johnson's future seems destined due to an unexpected fork in the road...
197,tt0112573,139408,Braveheart,1995-05-24,210000000.0,72000000,177.0,en,7.7,3404.0,,Every man dies. Not every man truly lives.
103,tt0075314,2045,Taxi Driver,1976-02-07,28262574.0,1300000,114.0,en,8.1,2632.0,,"On every street in every city, there's a nobody who dreams of being a somebody."
2074,tt0116324,26648,Flirting with Disaster,1996-03-22,14702438.0,7000000,92.0,en,6.3,66.0,,"A comedy about sex, love, family and other accidents waiting to happen."
27793,tt0110647,10304,The Neverending Story III: Escape from Fantasia,1994-10-26,0.0,17000000,95.0,en,4.4,105.0,,It's a brand new beginning in the adventure that never ends
5757,tt0113756,38255,Man of the Year,1995-09-15,209935.0,0,86.0,en,3.8,2.0,,He as a centerfold who revealed everything ... but the truth.
124639,tt0114618,118444,Target,1995-08-01,0.0,0,122.0,en,0.0,0.0,,
568,tt0112384,14587,Apollo 13,1995-06-30,355237933.0,52000000,140.0,en,7.3,1637.0,,"Houston, we have a problem."
414,tt0112462,46094,Batman Forever,1995-06-16,336529144.0,100000000,121.0,en,5.2,1529.0,,"Courage now, truth always..."
649,tt0061395,68445,Belle de Jour,1967-05-24,0.0,0,101.0,fr,7.3,163.0,,Luis Bunuel's Masterpiece of Erotica!
1873,tt0112495,4415,Beyond Rangoon,1995-05-24,0.0,0,100.0,en,6.4,21.0,,Truth has a witness
5894,tt0112541,125337,Blue in the Face,1995-09-15,1275000.0,2000000,83.0,en,6.8,28.0,http://miramax.com/movie/blue-in-the-face/,Welcome to the planet Brooklyn.
8839,tt0112642,13559,Casper,1995-05-26,287928194.0,50000000,100.0,en,6.0,1045.0,,Get an afterlife
8963,tt0112740,12777,Crimson Tide,1995-05-12,157387195.0,53000000,116.0,en,7.0,508.0,,Danger runs deep.
26564,tt0109508,14670,Crumb,1994-09-10,3174695.0,0,119.0,en,7.6,71.0,,Weird sex · Obsession · Comic books
8068,tt0112851,43001,Desperado,1995-08-25,25405445.0,7000000,104.0,en,6.8,898.0,,"When the smoke clears, it just means he's reloading."
8512,tt0112857,10970,Devil in a Blue Dress,1995-09-15,16140822.0,27000000,102.0,en,6.3,88.0,,Private detective Easy Rawlins has been caught on the wrong side of the most dangerous secret in town.
1572,tt0112864,266,Die Hard: With a Vengeance,1995-05-19,366101666.0,90000000,128.0,en,6.9,2094.0,,Think fast. Look alive. Die hard.
6520,tt0113071,19957,First Knight,1995-07-07,127600435.0,55000000,134.0,en,5.9,319.0,,Their greatest battle would be for her love.
8973,tt0113690,140,Lord of Illusions,1995-08-25,0.0,0,119.0,en,5.9,87.0,,Trust Nothing Except Your Fear.
2293,tt0113749,73351,Mallrats,1995-10-20,2122561.0,6000000,94.0,en,6.8,400.0,,They're not there to shop. They're not there to work. They're just there.
1642,tt0113957,172545,The Net,1995-07-28,110627965.0,22000000,114.0,en,5.6,359.0,,"No driver's license, no credit cards, no passport, no access to her bank accounts in a foreign country ... She finds her identity stolen."
32646,tt0114323,24964,Safe,1995-06-23,0.0,0,119.0,en,7.2,62.0,,In the 21st century nobody will be... Safe.
281,tt0114558,11593,Strange Days,1995-10-13,7959291.0,42000000,145.0,en,6.8,334.0,http://www.strange-days.com,You know you want it.
5967,tt0058450,25848,The Umbrellas of Cherbourg,1964-02-19,0.0,0,91.0,fr,7.6,119.0,,a film for all the young lovers of the world
3512,tt0114781,2621,Under Siege 2: Dark Territory,1995-07-13,104324083.0,60000000,100.0,en,5.6,217.0,,Last time he rocked the boat. This time the sky's the limit.
65796,tt0114938,15227,Wild Bill,1995-12-01,0.0,30000000,98.0,en,5.9,27.0,,The Name Is Legendary. The Man Is Real.
26258,tt0112602,13041,Bushwhacked,1995-08-04,0.0,0,90.0,en,4.9,29.0,,"They wanted a great adventure. What they got was ""Mad Max"" Grabelski."
76,tt0112471,9102,Before Sunrise,1995-01-27,5535405.0,2500000,105.0,en,7.7,984.0,,Can the greatest romance of your life last only one night?
6715,tt0112757,61054,The Cure,1995-04-21,0.0,0,97.0,en,7.2,58.0,,The best cure for a disease is friendship
2292,tt0109445,25723,Clerks,1994-09-13,3151130.0,27000,92.0,en,7.4,769.0,http://www.miramax.com/movie/clerks/,Just because they serve you doesn't mean they like you.
1909,tt0112883,846,Don Juan DeMarco,1994-10-01,22200000.0,25000000,97.0,en,6.3,184.0,,The story of the man who thought he was the greatest lover in the world... and the people who tried to cure him of it!
8984,tt0109635,163,Disclosure,1994-12-09,214015089.0,55000000,123.0,en,5.9,217.0,,Sex Is Power.
4954,tt0109676,299,Drop Zone,1994-12-08,0.0,45000000,101.0,en,5.1,91.0,,Taking crime to new heights
522,tt0109707,10412,Ed Wood,1994-09-27,5887457.0,18000000,127.0,en,7.3,639.0,,"When it came to making bad movies, Ed Wood was the best."
397,tt0113117,75555,French Kiss,1995-05-05,0.0,0,111.0,en,6.2,179.0,,
1024,tt0110005,15947,Heavenly Creatures,1994-09-02,3049135.0,5000000,99.0,en,6.9,299.0,http://www.miramax.com/movie/heavenly-creatures,From a secret world no one could see... came a crime no one could believe.
628,tt0110148,1592,Interview with the Vampire,1994-11-11,223664608.0,60000000,123.0,en,7.2,1558.0,,Drink from me and live forever
6280,tt0110216,8409,Junior,1994-11-22,37000000.0,60000000,109.0,en,4.7,381.0,,Nothing is inconceivable
6071,tt0113552,39948,Kiss of Death,1995-04-21,0.0,40000000,101.0,en,5.7,83.0,,
11,tt0076759,9087,Star Wars,1977-05-25,775398007.0,11000000,121.0,en,8.1,6778.0,http://www.starwars.com/films/star-wars-episode-iv-a-new-hope,"A long time ago in a galaxy far, far away..."
4476,tt0110322,12710,Legends of the Fall,1994-12-16,160638883.0,30000000,133.0,en,7.2,636.0,,After the Fall from Innocence the Legend begins.
32325,tt0107566,21666,Mi Vida Loca,1994-06-08,0.0,0,92.0,en,5.7,9.0,,Mothers. Warriors. Sisters. Survivors.
3036,tt0109836,62204,Mary Shelley's Frankenstein,1994-11-04,112006296.0,45000000,123.0,en,6.1,272.0,,Be Warned.  It's Alive
8986,tt0110516,15788,Milk Money,1994-08-31,18137661.0,0,108.0,en,5.6,49.0,,You can't get enough of a good thing... But first you have to find it.
1945,tt0110638,654,Nell,1994-12-23,106683817.0,31000000,112.0,en,6.1,128.0,,Her heart. Her soul. Her language are a mystery...A mystery called Nell
241,tt0110632,21183,Natural Born Killers,1994-08-25,50282766.0,34000000,119.0,en,6.9,927.0,,The Media Made Them Superstars.
527,tt0110729,424,Once Were Warriors,1994-09-02,2201126.0,0,99.0,en,7.6,106.0,,"A family in crisis, a life in chaos... Nothing is more powerful than a mother's love."
6950,tt0114069,12146,Outbreak,1995-03-10,189859560.0,50000000,127.0,en,6.4,522.0,,This animal carries a deadly virus... and the greatest medical crisis in the world is about to happen.
101,tt0110413,13685,Leon: The Professional,1994-09-14,45284974.0,16000000,110.0,fr,8.2,4293.0,,"If you want a job done well, hire a professional."
2307,tt0114210,134368,A Pyromaniac's Love Story,1995-04-28,0.0,0,94.0,en,7.0,2.0,,
680,tt0110912,8072,Pulp Fiction,1994-09-10,213928762.0,8000000,154.0,en,8.3,8670.0,,Just because you are a character doesn't mean you have character.
3586,tt0110907,42159,Prêt-à-Porter,1994-12-23,11300653.0,15000000,133.0,en,5.3,33.0,http://www.miramax.com/movie/ready-to-wear/,"At the world's hottest fashion show, there's been a murder and now everyone's a suspect. If you've got something to hide, you'll need something to wear."
110,tt0111495,197,Three Colors: Red,1994-05-27,0.0,0,99.0,fr,7.8,246.0,,
108,tt0108394,89333,Three Colors: Blue,1993-01-10,0.0,0,98.0,fr,7.7,311.0,,
109,tt0111507,96357,Three Colors: White,1994-01-26,0.0,0,91.0,fr,7.3,218.0,,
159185,tt0110769,87061,"Red Firecracker, Green Firecracker",1994-10-14,0.0,0,111.0,zh,7.0,2.0,,
2636,tt0111255,29243,The Specialist,1994-10-07,170362582.0,45000000,110.0,en,5.5,317.0,,The government taught him to kill. Now he's using his skills to help a woman seek revenge against the Miami underworld.
2164,tt0111282,28070,Stargate,1994-10-27,196567262.0,55000000,121.0,en,6.8,942.0,,It will take you a million light years from home. But will it bring you back?
278,tt0111161,17402,The Shawshank Redemption,1994-09-23,28341469.0,25000000,142.0,en,8.5,8358.0,,Fear can hold you prisoner. Hope can set you free.
193,tt0111280,10802,Star Trek: Generations,1994-11-17,120000000.0,38000000,118.0,en,6.4,461.0,,Boldly go.
95963,tt0114888,39108,The Walking Dead,1995-02-24,0.0,0,88.0,en,6.6,4.0,,Surviving the streets was just a rehearsal.
1587,tt0108550,9387,What's Eating Gilbert Grape,1993-12-17,10032765.0,11000000,118.0,en,7.5,943.0,,A film about the love you find...In the last place you look.
2064,tt0114924,1779,While You Were Sleeping,1995-04-21,182057016.0,17000000,103.0,en,6.5,340.0,,A story about love at second sight.
236,tt0110598,397,Muriel's Wedding,1994-09-29,15119639.0,3000000,106.0,en,6.9,104.0,,Success is the best revenge.
3049,tt0109040,29048,Ace Ventura: Pet Detective,1994-02-04,107217396.0,15000000,86.0,en,6.4,1684.0,,"He's the best there is! (Actually, he's the only one there is.)"
2759,tt0109045,16406,"The Adventures of Priscilla, Queen of the Desert",1994-05-31,11220670.0,0,104.0,en,7.2,174.0,,She's back... Looking as gorgeous and outrageous as ever in a brand new frock.
888,tt0109813,19004,The Flintstones,1994-05-26,341631208.0,46000000,91.0,en,5.0,559.0,,Yabba-Dabba-Doo!
13,tt0109830,21032,Forrest Gump,1994-07-06,677945399.0,55000000,142.0,en,8.2,8147.0,,"The world will never be the same, once you've seen it through the eyes of Forrest Gump."
712,tt0109831,37667,Four Weddings and a Funeral,1994-03-09,254700832.0,6000000,117.0,en,6.6,654.0,http://workingtitlefilms.com/film.php?filmID=59,Five good reasons to stay single.
8587,tt0110357,61487,The Lion King,1994-06-23,788241776.0,45000000,89.0,en,8.0,5520.0,http://movies.disney.com/the-lion-king,Life's greatest adventure is finding your place in the Circle of Life.
1689,tt0107426,9414,Little Buddha,1993-12-01,4858139.0,35000000,140.0,en,6.0,76.0,,A magical journey to a place where the past and present meet
854,tt0110475,116690,The Mask,1994-07-29,351583407.0,23000000,101.0,en,6.6,2550.0,,From zero to hero.
2788,tt0110950,9267,Reality Bites,1994-02-18,20079850.0,11500000,99.0,en,6.5,180.0,,A comedy about love in the '90s
8987,tt0110997,33377,The River Wild,1994-09-30,0.0,45000000,111.0,en,6.1,214.0,,The vacation is over
8831,tt0111438,8080,Timecop,1994-09-15,101646581.0,27000000,99.0,en,5.5,288.0,,They killed his wife ten years ago. There's still time to save her. Murder is forever... until now.
315,tt0059170,2636,"Faster, Pussycat! Kill! Kill!",1965-08-06,0.0,45000,83.0,en,6.5,59.0,,Go-Go For a Wild Ride With the ACTION GIRLS!
8011,tt0110027,14108,Highlander: The Final Dimension,1994-11-29,36800000.0,26000000,99.0,en,4.5,110.0,,"Throughout time they have hunted each other fulfilling the prophecy, that there can be only one."
171857,tt0109785,95647,Federal Hill,1995-02-24,0.0,0,97.0,en,5.0,2.0,,
2654,tt0113409,13666,In the Mouth of Madness,1994-12-12,8946600.0,8000000,95.0,en,7.1,307.0,http://www.theofficialjohncarpenter.com/in-the-mouth-of-madness/,Lived Any Good Books Lately?
2758,tt0106220,41166,Addams Family Values,1993-11-19,48919043.0,0,94.0,en,6.5,537.0,,The Family Just Got A Little Stranger
306,tt0109254,110,Beverly Hills Cop III,1994-05-24,119208989.0,50000000,104.0,en,5.5,445.0,,
26203,tt0109297,14801,Blink,1994-01-26,16668552.0,0,106.0,en,6.3,45.0,,"What you can't see, can kill you."
178,tt0109303,15730,Blown Away,1994-07-01,30156002.0,0,121.0,en,6.0,126.0,http://www.mgm.com/#/our-titles/215/Blown-Away,5. 4. 3. 2. 1......Time's Up.
4722,tt0106452,21055,Body Snatchers,1993-06-09,428868.0,13000000,87.0,en,5.8,102.0,,Imagine... you're gone and someone else is living inside your body.
26391,tt0109361,12637,Cabin Boy,1994-01-07,3662459.0,0,80.0,en,4.9,28.0,,"He's Setting Sail On The High Seas... Without A Rudder, A Compass, Or A Clue!"
117553,tt0106505,158967,Calendar Girl,1993-09-03,2570145.0,13000000,90.0,en,3.7,10.0,http://www.sonymoviechannel.com/movies/calendar-girl/details,Three boy's journey to discovery in the Hollywood of the early sixties.
6075,tt0106519,24129,Carlito's Way,1993-11-10,36516012.0,30000000,144.0,en,7.7,805.0,,He's got a good future if he can live past next week.
2124,tt0109456,2907,Color of Night,1994-08-19,19726050.0,40000000,121.0,en,5.4,117.0,,"In the heat of desire, love can turn to deception. Nothing is what it seems when day turns into night."
49299,tt0106660,57977,Dangerous Game,1993-11-19,0.0,0,108.0,en,5.4,9.0,,TURBULENCE REDEMPTION HOLLYWOOD
26141,tt0106873,16303,Fatal Instinct,1993-10-29,0.0,0,91.0,en,5.4,37.0,,"Sex, murder and revenge were never this funny."
5503,tt0106977,12308,The Fugitive,1993-08-06,368875760.0,44000000,130.0,en,7.2,1240.0,,A murdered wife. A one-armed man. An obsessed detective. The chase begins.
2087,tt0109890,10693,The Getaway,1994-02-11,30.0,0,115.0,en,5.4,81.0,,
4916,tt0107057,11422,Guilty as Sin,1993-06-04,22886222.0,0,107.0,en,5.6,21.0,,"She's finally met her match. He's handsome, wealthy, seductive. A Real Lady Killer!"
2019,tt0107076,346,Hard Target,1993-08-20,74189677.0,18000000,97.0,en,6.1,237.0,,Don't hunt what you can't kill.
26271,tt0113674,23148,Live Nude Girls,1995-12-08,0.0,0,95.0,en,4.7,12.0,,"Sex, Lies and Fantasies... Unrated!"
2259,tt0107151,14347,The House of the Spirits,1993-10-19,0.0,25000000,140.0,en,6.7,135.0,,
7984,tt0107207,14510,In the Name of the Father,1993-12-12,65796862.0,13000000,133.0,en,7.6,363.0,,Falsely accused. Wrongly imprisoned. He fought for justice to clear his father's name.
6,tt0107286,949,Judgment Night,1993-10-15,12136938.0,0,110.0,en,6.4,79.0,,Don't move. Don't whisper. Don't even breathe.
329,tt0107290,193,Jurassic Park,1993-06-11,920100000.0,63000000,127.0,en,7.6,4956.0,http://www.jurassicpark.com/,An adventure 65 million years in the making.
507,tt0110265,9559,Killing Zoe,1993-10-01,418961.0,1500000,96.0,en,6.1,111.0,,
1413,tt0107468,18451,M. Butterfly,1993-09-09,1499795.0,0,101.0,en,6.6,35.0,,
2246,tt0107497,129628,Malice,1993-09-29,46405336.0,0,107.0,en,5.9,105.0,,Her doctor wasn't playing God. He thought he was God.
2320,tt0116253,9445,Executive Decision,1996-03-15,121969216.0,55000000,133.0,en,5.8,261.0,,Fasten your seat belts
5879,tt0074102,13376,In the Realm of the Senses,1976-05-15,0.0,0,105.0,ja,6.5,112.0,,
2625,tt0107611,9460,Mr. Jones,1993-10-08,0.0,0,114.0,en,5.9,35.0,,Everything That Makes Him Dangerous Makes Her Love Him More
788,tt0107614,9327,Mrs. Doubtfire,1993-11-24,441286195.0,25000000,125.0,en,7.0,1638.0,,She makes dinner. She does windows. She reads bedtime stories. She's a blessing... in disguise.
713,tt0107822,90148,The Piano,1993-05-19,116700000.0,7000000,121.0,en,7.1,290.0,,
8291,tt0107840,4879,Poetic Justice,1993-07-23,27515786.0,14000000,109.0,en,6.9,47.0,http://www.janetjackson.com,A Street Romance.
1245,tt0107943,379,The Remains of the Day,1993-11-05,23237911.0,11500000,134.0,en,7.5,213.0,,Diamond in the Rough
7007,tt0107969,9319,Rising Sun,1993-07-30,107198790.0,0,125.0,en,5.8,188.0,,A collision of East and West. A conspiracy of seduction and murder. A battle between tradition and power. Business is war.
5550,tt0107978,39833,RoboCop 3,1993-04-17,10696210.0,22000000,104.0,en,4.2,309.0,,He's back to lay down the law.
2088,tt0107983,11335,Romeo Is Bleeding,1993-09-13,3275585.0,11500000,100.0,en,5.7,36.0,,The story of a cop who wanted it bad and got it worse.
424,tt0108052,19819,Schindler's List,1993-11-29,321365567.0,22000000,195.0,en,8.3,4436.0,http://www.schindlerslist.com/,"Whoever saves one life, saves the world entire."
103413,tt0111102,117377,Second Best,1994-09-30,0.0,0,105.0,en,5.9,8.0,,
8850,tt0111143,19893,The Shadow,1994-07-01,48063435.0,25000000,108.0,en,5.4,140.0,,The Shadow Knows!
695,tt0108122,37144,Short Cuts,1993-09-05,6110979.0,0,187.0,en,6.9,136.0,,Short Cuts raises the roof on America.
858,tt0108160,238,Sleepless in Seattle,1993-06-24,227799884.0,21000000,105.0,en,6.5,630.0,,"What if someone you never met, someone you never saw, someone you never knew was the only someone for you?"
867,tt0108162,23945,Sliver,1993-05-21,116300000.0,40000000,108.0,en,4.9,144.0,,You like to watch... don't you?
78,tt0083658,27526,Blade Runner,1982-06-25,33139618.0,28000000,117.0,en,7.9,3833.0,http://www.warnerbros.com/blade-runner,Man has made his match... now it's his problem.
319,tt0108399,9905,True Romance,1993-09-09,12281551.0,12500000,120.0,en,7.5,762.0,,"Stealing, Cheating, Killing. Who said romance was dead?"
32562,tt0112651,21131,The Celluloid Closet,1996-01-30,0.0,0,102.0,en,7.0,24.0,,
124304,tt0106678,72460,I Don't Want to Talk About It,1993-05-20,0.0,0,106.0,en,6.0,1.0,,
771,tt0099785,202425,Home Alone,1990-11-09,476684675.0,18000000,103.0,en,7.1,2487.0,https://www.foxconnect.com/home-alone-4.html,A Family Comedy Without the Family.
251,tt0099653,32631,Ghost,1990-07-12,505000000.0,22000000,127.0,en,6.9,1381.0,,A love that will last forever.
812,tt0103639,172198,Aladdin,1992-11-25,504050219.0,28000000,90.0,en,7.4,3495.0,http://movies.disney.com/aladdin,Wish granted!
280,tt0103064,8438,Terminator 2: Judgment Day,1991-07-01,520000000.0,100000000,137.0,en,7.7,4274.0,,It's nothing personal.
581,tt0099348,32562,Dances with Wolves,1990-11-09,424208848.0,22000000,181.0,en,7.6,1084.0,,Inside everyone is a frontier waiting to be discovered.
80350,tt0114706,40264,Tough and Deadly,1995-02-14,0.0,0,92.0,en,6.3,4.0,,Experts with fists and guns and not afraid to use them.
268,tt0096895,47504,Batman,1989-06-23,411348924.0,35000000,126.0,en,7.0,2145.0,,Have you ever danced with the devil in the pale moonlight?
274,tt0102926,40490,The Silence of the Lambs,1991-02-01,272742922.0,19000000,119.0,en,8.1,4549.0,,To enter the mind of a killer she must challenge the mind of a madman.
408,tt0029583,18069,Snow White and the Seven Dwarfs,1937-12-20,184925486.0,1488423,83.0,en,6.9,1973.0,http://movies.disney.com/snow-white-and-the-seven-dwarfs,"The Happiest, Dopiest, Grumpiest, Sneeziest movie of the year."
114,tt0100405,71754,Pretty Woman,1990-03-23,463000000.0,14000000,119.0,en,7.0,1807.0,,Who knew it was so much fun to be a hooker?
576,tt0065214,349394,The Wild Bunch,1969-06-17,638641.0,6244087,145.0,en,7.7,266.0,,"If you only want to spend two hours in a movie theatre and go home and forget it, stay away from THE WILD BUNCH."
124472,tt0109934,25807,A Great Day in Harlem,1994-09-27,0.0,0,60.0,en,7.0,2.0,,
7300,tt0117247,11951,One Fine Day,1996-12-20,97529550.0,0,108.0,en,6.1,160.0,,She was having a perfectly bad day... Then he came along and spoiled it.
275,tt0116282,24070,Fargo,1996-04-05,60611975.0,7000000,98.0,en,7.7,2080.0,http://www.themoviefargo.com/,A lot can happen in the middle of nowhere.
8766,tt0116514,20298,Hellraiser: Bloodline,1996-03-08,16675000.0,4000000,86.0,en,4.9,111.0,,"This year, the past, the present and the future will all meet at the crossroads of hell."
4307,tt0113083,49453,The Flower of My Secret,1995-09-22,0.0,0,107.0,es,6.9,43.0,,Every woman has a secret...
1592,tt0117381,20737,Primal Fear,1996-04-03,102616183.0,30000000,129.0,en,7.4,644.0,,"Sooner or later, a man who wears two faces forgets which one is real."
38884,tt0114671,43110,Land and Freedom,1995-01-01,0.0,0,109.0,en,7.0,53.0,,The fight against fascism begins with the fight against Stalinism.
2021,tt0113448,841,Jack & Sarah,1995-06-02,218626.0,0,110.0,en,5.1,10.0,,"She's not proper, she's not fitting, she's not British, but to Jack she's a breath of fresh air."
954,tt0117060,3083,Mission: Impossible,1996-05-22,457696359.0,80000000,110.0,en,6.7,2677.0,http://www.missionimpossible.com/,Expect the Impossible.
8840,tt0116136,42694,DragonHeart,1996-05-31,115267375.0,57000000,103.0,en,6.4,553.0,,You will believe.
124625,tt0117117,85615,My Mother's Courage,1995-09-12,0.0,0,93.0,de,0.0,0.0,,
161070,tt0115591,263416,August,1996-08-08,0.0,0,94.0,en,5.3,3.0,,"It's really how life can appear with desillusions, good and funny moments, peace, love and hate."
5801,tt0048473,31918,Pather Panchali,1955-08-26,536364.0,0,125.0,bn,7.9,63.0,,
896,tt0052572,26933,The World of Apu,1959-05-01,16000.0,0,117.0,bn,8.2,40.0,,
3065,tt0117128,124853,Mystery Science Theater 3000: The Movie,1996-04-19,0.0,0,73.0,en,7.0,71.0,http://www.mst3k.com/,Every year Hollywood makes hundreds of movies. This is one of them.
2300,tt0117705,30197,Space Jam,1996-11-15,250200000.0,80000000,88.0,en,6.5,1335.0,http://www.warnerbros.com/archive/spacejam/movie/jam.htm,Get ready to jam.
8069,tt0062711,42201,Barbarella,1968-10-10,2500000.0,9000000,98.0,en,5.7,149.0,,See Barbarella do her thing!
27768,tt0108181,21200,Some Folks Call It a Sling Blade,1994-03-26,0.0,0,25.0,en,7.5,8.0,,
33245,tt0113443,46594,It's My Party,1996-03-22,0.0,0,110.0,en,6.2,9.0,,
38867,tt0109593,12612,Delta of Venus,1995-06-09,62949.0,0,99.0,en,3.3,5.0,,"In 1939, Elena went to Paris searching for her voice as a writer. What she found was her voice as a woman."
753,tt0062952,41007,Faces,1968-11-24,0.0,275000,130.0,en,7.1,36.0,,
8866,tt0117979,11823,The Truth About Cats & Dogs,1996-04-26,0.0,0,93.0,en,5.7,86.0,,Brian's about to discover the woman he loves isn't the woman he loves.
922,tt0112817,599,Dead Man,1995-12-23,0.0,9000000,121.0,en,7.2,397.0,,No one can survive becoming a legend.
73183,tt0113270,25680,"The Haunted World of Edward D. Wood, Jr.",1996-05-01,0.0,0,112.0,en,10.0,1.0,,Can your MIND stand the SHOCKING TRUTH?
664,tt0117998,47502,Twister,1996-05-10,494471524.0,92000000,113.0,en,6.1,966.0,,The Dark Side of Nature.
532,tt0112691,11592,A Close Shave,1995-12-24,0.0,0,30.0,en,7.5,223.0,http://www.wallaceandgromit.com/films/a-close-shave,From the Oscar-winning creator of A Grand Day Out and The Wrong Trousers.
26744,tt0040366,39233,Force of Evil,1948-12-25,0.0,0,78.0,en,6.6,33.0,,
935,tt0057012,29376,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964-01-29,9440272.0,1800000,95.0,en,8.0,1472.0,,The hot-line suspense comedy
7095,tt0116669,37749,Jack,1996-08-09,58620973.0,45000000,113.0,en,5.9,340.0,,Jack Powell is about to tackle his biggest adventure ever... the fifth grade!
124633,tt0114494,91715,Someone Else's America,1995-09-09,0.0,0,96.0,sr,0.0,0.0,,"Two friends, two worlds, one dream."
627,tt0117951,12520,Trainspotting,1996-02-23,16491080.0,4000000,93.0,en,7.8,2737.0,http://www.miramax.com/movie/trainspotting/,Choose life.
